model,group,variable,horizon_quarters,rmse,baseline_rmse,relative_rmse_pct
mango_rmse,+0 months,CPI,1,0.5721999701882309,0.5794743587502362,-1.2553426138982524
mango_rmse,+0 months,CPI,2,0.6122185992866613,0.6120922844788593,0.02063656265648794
mango_rmse,+0 months,CPI,3,0.6350027033475085,0.6284589994561677,1.0412300399872374
mango_rmse,+0 months,CPI,4,0.6448147416919254,0.6251323558813553,3.148514970533005
mango_rmse,+0 months,CPI,5,0.672798353634884,0.6310410090161603,6.617215683625144
mango_rmse,+0 months,CPI,6,0.6703728368240546,0.6346798742301076,5.62377413294284
mango_rmse,+0 months,CPI,7,0.6960477501948915,0.6416147116164073,8.483757867919234
mango_rmse,+0 months,CPI,8,0.6545308597073816,0.5904762799665731,10.84795137654548
mango_rmse,+0 months,FF,1,0.47140874316024617,0.4046350923661181,16.502189764033258
mango_rmse,+0 months,FF,2,0.9309383584017453,0.7563268937809116,23.086771878220983
mango_rmse,+0 months,FF,3,1.3729223895133231,1.1455821702483442,19.84495090524106
mango_rmse,+0 months,FF,4,1.767302796208777,1.5207791537860285,16.21035124061374
mango_rmse,+0 months,FF,5,2.1095901492299336,1.8410864804772882,14.583979166640656
mango_rmse,+0 months,FF,6,2.406133449808308,2.112625684448938,13.893032140993274
mango_rmse,+0 months,FF,7,2.6535298897595556,2.333276431317568,13.725482936505086
mango_rmse,+0 months,FF,8,3.1150081393765596,2.781045933777212,12.008510954213563
mango_rmse,+0 months,GDP,1,0.771411497616267,0.7121427214741672,8.322598034760615
mango_rmse,+0 months,GDP,2,0.8375394853020465,0.8403219548510522,-0.3311194635511974
mango_rmse,+0 months,GDP,3,0.8330227873090625,0.8788352596084141,-5.212862342342116
mango_rmse,+0 months,GDP,4,0.8160280017001351,0.865271296833809,-5.691081550244921
mango_rmse,+0 months,GDP,5,0.8143982542042433,0.8478870989652252,-3.9496820746361423
mango_rmse,+0 months,GDP,6,0.8017470332558022,0.8355274691371571,-4.0430072174933676
mango_rmse,+0 months,GDP,7,0.7820435022592143,0.8012878657526193,-2.4016791362901246
mango_rmse,+0 months,GDP,8,0.6898924278218348,0.7148240738208234,-3.487801672056989
mango_rmse,+0 months,GOV,1,0.7966488095465329,0.8152038639938014,-2.2761244477380873
mango_rmse,+0 months,GOV,2,0.7506947223914188,0.7529345595323572,-0.29748098457980177
mango_rmse,+0 months,GOV,3,0.7430979409765963,0.7426329470063496,0.06261423925791831
mango_rmse,+0 months,GOV,4,0.7547971399085396,0.7529523776922274,0.24500383702436349
mango_rmse,+0 months,GOV,5,0.7619927973041287,0.7621143716200552,-0.01595224030063693
mango_rmse,+0 months,GOV,6,0.7596294454380197,0.7528848491515209,0.8958337113703083
mango_rmse,+0 months,GOV,7,0.7433026617464858,0.7568326295139953,-1.787709361341599
mango_rmse,+0 months,GOV,8,0.83166857835361,0.8461923495420649,-1.7163675843104451
mango_rmse,+0 months,HRS,1,0.755582715906148,0.5969637409131805,26.570956344907433
mango_rmse,+0 months,HRS,2,0.927562193804288,0.9047126121445276,2.5256176771536096
mango_rmse,+0 months,HRS,3,0.9354439668249784,1.003208600725103,-6.754789966029545
mango_rmse,+0 months,HRS,4,0.9228055364053254,0.9875614500003792,-6.5571528328722195
mango_rmse,+0 months,HRS,5,0.9016357142143927,0.9382979171655756,-3.907309424914069
mango_rmse,+0 months,HRS,6,0.8748897706957979,0.8993119446660424,-2.715651016879756
mango_rmse,+0 months,HRS,7,0.8577451787029282,0.864354527086984,-0.7646571142897101
mango_rmse,+0 months,HRS,8,1.045872594793991,1.0454357994856796,0.04178116997011408
mango_rmse,+0 months,INVFIX,1,2.5415841866282975,2.153451787969043,18.02373291232626
mango_rmse,+0 months,INVFIX,2,2.81039567628196,2.7507988140859068,2.1665292965402596
mango_rmse,+0 months,INVFIX,3,2.7587504837536314,2.8734537555233177,-3.991825918520703
mango_rmse,+0 months,INVFIX,4,2.695193490248599,2.820290781659793,-4.43561678904512
mango_rmse,+0 months,INVFIX,5,2.642791082111988,2.7100278280317514,-2.4810352581728314
mango_rmse,+0 months,INVFIX,6,2.564416420261325,2.6204672331056567,-2.1389625535558765
mango_rmse,+0 months,INVFIX,7,2.5531803234812047,2.5463955583435207,0.26644584402659033
mango_rmse,+0 months,INVFIX,8,2.995604058197085,2.960108157597835,1.1991420147314908
mango_rmse,+0 months,IP,1,1.3631856579769572,1.1555257174018956,17.971035819260514
mango_rmse,+0 months,IP,2,1.6601687246231775,1.651391305283893,0.5315166254781452
mango_rmse,+0 months,IP,3,1.6445363192345717,1.7164120002873107,-4.187554097775343
mango_rmse,+0 months,IP,4,1.6156729167530748,1.67502131437758,-3.543142831382925
mango_rmse,+0 months,IP,5,1.5864586259873987,1.6119718046945966,-1.5827310771128247
mango_rmse,+0 months,IP,6,1.5781653542284775,1.6029132688405616,-1.5439334799433722
mango_rmse,+0 months,IP,7,1.5563517813083478,1.5649468833212286,-0.5492264372986035
mango_rmse,+0 months,IP,8,1.7976203329080576,1.7828380004421023,0.8291461401590952
mango_rmse,+0 months,PCE,1,0.6445686251521083,0.6265706230355428,2.872461851047331
