model,lambda1_1_mean,lambda1_1_std,lambda1_1_min,lambda1_1_max,lambda2_1_mean,lambda2_1_std,lambda2_1_min,lambda2_1_max,lambda3_1_mean,lambda3_1_std,lambda3_1_min,lambda3_1_max,lambda4_1_mean,lambda4_1_std,lambda4_1_min,lambda4_1_max,lambda5_1_mean,lambda5_1_std,lambda5_1_min,lambda5_1_max
mango_rmse,11.09642331469524,5.193545136570589,0.0875122028332706,19.78834546398919,5.797741841345353,2.604220224635613,0.0418205488680362,9.961510635526151,1.0,0.0,1.0,1.0,6.042160168132134,3.020307017890521,0.1135575389179888,9.972205962126264,6.240395337288651,3.2210863385045916,0.0372158515597467,9.95064501913901
paper,0.09,0.0,0.09,0.09,4.3,0.0,4.3,4.3,1.0,0.0,1.0,1.0,2.7,0.0,2.7,2.7,4.3,0.0,4.3,4.3
