strategy,forecast_origin,group,target_quarter,horizon_quarters,variable,actual_level,actual_metric,mean_level,median_level,p95_level,p84_level,p16_level,p05_level,mean_metric,median_metric,p95_metric,p84_metric,p16_metric,p05_metric,error_metric
mango_rmse,1997-07-31,+0 months,1997Q3,1,CPI,160.79999999999998,0.4987541511039417,161.43394448929473,161.43354308339147,162.8961569355394,162.3142600171712,160.53731462081197,159.96445884619988,0.7579920892943015,0.7591607694187985,1.4719522982793443,1.1887527514304885,0.31286427601813216,0.019203762798269963,0.2592379381903598
mango_rmse,1997-07-31,+0 months,1997Q4,2,CPI,161.66666666666666,0.5375245524507299,162.78039582342598,162.78626525509117,165.06578019679776,164.21620911093422,161.3768198032631,160.38642442758282,0.8305980998375873,0.8344524215935678,1.3231138539257614,1.1649575052914862,0.521572056531383,0.26343977647833583,0.2930735473868573
mango_rmse,1997-07-31,+0 months,1998Q1,3,CPI,162.0,0.2059732963010319,164.11066230932352,164.13968527258362,167.12629363595335,165.94733355688587,162.1964459893461,161.01110115774222,0.8138942905469904,0.8279720512466504,1.240571360836995,1.0486562483293937,0.5066104191755016,0.3887257785410547,0.6079209942459585
mango_rmse,1997-07-31,+0 months,1998Q2,4,CPI,162.53333333333333,0.3286773706623336,165.47378922668793,165.44393552866686,169.26970376373032,167.81409916504828,163.1721658052974,161.72467368419407,0.8271838574146706,0.791457452372768,1.2743547196712335,1.1186343846040891,0.5997645165770393,0.44220303100166447,0.498506486752337
mango_rmse,1997-07-31,+0 months,1998Q3,5,CPI,163.36666666666667,0.5114054308385185,166.8907021697162,166.86826148536207,171.4343566786997,169.6143237828829,164.16921601457886,162.28869660493427,0.8526311104758655,0.8572268436457087,1.2707110325639093,1.06703619256443,0.6091825525646577,0.3481482816180659,0.34122567963734696
mango_rmse,1997-07-31,+0 months,1998Q4,6,CPI,164.13333333333333,0.4681942394796579,168.29899486501935,168.31324776584958,173.64146601867415,171.48010215505738,165.00044676751273,163.0534663940004,0.8403008770533127,0.862216555802231,1.2792199814656513,1.0940061396810918,0.5050480732535334,0.47013346848707727,0.3721066375736548
mango_rmse,1997-07-31,+0 months,1999Q1,7,CPI,164.73333333333332,0.3648899244210746,169.76140417378824,169.77608885477215,176.06399933114065,173.44187029171766,166.05874009860895,163.7110289593527,0.865181745732091,0.8653631210683521,1.3854928244731113,1.137526424627744,0.6393400201174515,0.40246933942409413,0.5002918213110163
mango_rmse,1997-07-31,+0 months,1997Q3,1,FF,5.533333333333334,5.533333333333334,5.5694033330557735,5.516145906224477,7.407100941849126,6.672137621988103,4.499375052859497,3.8403059908793638,5.5694033330557735,5.516145906224477,7.407100941849126,6.672137621988103,4.499375052859497,3.8403059908793638,0.036069999722439405
mango_rmse,1997-07-31,+0 months,1997Q4,2,FF,5.506666666666667,5.506666666666667,5.6522320182932715,5.65419636419345,8.179172049854223,7.204900829090639,4.118185299031735,3.1390141901554784,5.6522320182932715,5.65419636419345,8.179172049854223,7.204900829090639,4.118185299031735,3.1390141901554784,0.14556535162660467
mango_rmse,1997-07-31,+0 months,1998Q1,3,FF,5.52,5.52,5.726236262701505,5.7592826642282615,8.818547389024474,7.681341876005296,3.7616664773969464,2.532633853639049,5.726236262701505,5.7592826642282615,8.818547389024474,7.681341876005296,3.7616664773969464,2.532633853639049,0.20623626270150552
