model,model_size,optimization_horizon,lambda_mean,lambda_std,lambda_min,lambda_max,theta_mean,theta_std,theta_min,theta_max,miu_mean,miu_std,miu_min,miu_max
mango_mdd,medium,,0.9358210764101855,0.44391939785552587,0.2857924336521543,2.4089532239472966,5.038503481155601,5.502215785776634,0.0862853391170619,20.39186103945454,4.284499007633998,3.977522704127799,0.0317429248984285,17.030325342416653
mango_rmse,medium,h1q,0.199884224144734,0.0,0.199884224144734,0.199884224144734,31.719710569675936,0.0,31.719710569675936,31.719710569675936,1.3112451473209548,0.0,1.3112451473209548,1.3112451473209548
mango_rmse,medium,h2q,0.0708261210599879,0.0,0.0708261210599879,0.0708261210599879,33.944938326480525,0.0,33.944938326480525,33.944938326480525,1.576099300996307,0.0,1.576099300996307,1.576099300996307
mango_rmse,medium,h4q,0.7130751957539918,0.0,0.7130751957539918,0.7130751957539918,16.693621573474346,0.0,16.693621573474346,16.693621573474346,0.1785223159431296,0.0,0.1785223159431296,0.1785223159431296
mango_rmse,medium,h8q,2.772739277752094,0.0,2.772739277752094,2.772739277752094,9.804580848278688,0.0,9.804580848278688,9.804580848278688,0.0003179088539938,0.0,0.0003179088539938,0.0003179088539938
mango_rmse_random,medium,h1q,1.555928517217999,0.0,1.555928517217999,1.555928517217999,30.368293212133278,0.0,30.36829321213328,30.36829321213328,48.39253456485485,0.0,48.39253456485485,48.39253456485485
mango_rmse_random,medium,h2q,0.5455665760991857,0.0,0.5455665760991857,0.5455665760991857,30.333235014429487,0.0,30.333235014429487,30.333235014429487,6.497613534631784,0.0,6.497613534631784,6.497613534631784
mango_rmse_random,medium,h4q,3.294812998360707,0.0,3.294812998360707,3.294812998360707,2.727202444816002,0.0,2.727202444816002,2.727202444816002,35.72604855842291,0.0,35.72604855842291,35.72604855842291
mango_rmse_random,medium,h8q,4.446323515286829,0.0,4.446323515286829,4.446323515286829,32.29979744214761,0.0,32.29979744214761,32.29979744214761,10.382824587130598,0.0,10.382824587130598,10.382824587130598
paper,medium,,0.5700396942804988,0.0219393396640081,0.5394322237615421,0.6465828583592712,0.5894287749720111,0.08435667139930918,0.4606348623892484,0.703831675096611,0.07482178326654577,0.016173414387730078,0.0655376820597171,0.2092260196351867
