forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2000-03-31,mango_rmse,small,1999Q4,164,4.505762600711234,26.79839714616353,3.3804672299852503
2000-06-30,mango_rmse,small,2000Q1,183,0.06379223619087683,41.680402927717225,19.56443180413276
2000-09-30,mango_rmse,small,2000Q2,184,0.07882579859420817,30.62096108193588,49.37528750563646
2000-12-31,mango_rmse,small,2000Q3,185,0.08907096914169267,21.98426642453963,28.049245312954547
2001-03-31,mango_rmse,small,2000Q4,186,4.960402171135496,14.402416901446495,0.20355737851945302
2001-06-30,mango_rmse,small,2001Q1,187,4.994901534701078,15.754191641157599,0.1763068662404129
2001-09-30,mango_rmse,small,2001Q2,188,4.775340539500213,0.01927842259884356,0.04647170882946649
2001-12-31,mango_rmse,small,2001Q3,189,4.775340539500213,0.01927842259884356,0.04647170882946649
2002-03-31,mango_rmse,small,2001Q4,190,0.006193617542398928,7.430610468942982,22.65333313380799
2002-06-30,mango_rmse,small,2002Q1,191,0.00027452488943160595,9.899158106115877,0.13588904282945133
2002-09-30,mango_rmse,small,2002Q2,192,0.013749839582776873,9.831041310562297,12.59910408391235
2002-12-31,mango_rmse,small,2002Q3,193,0.0020654764070965333,37.265822843947,27.45621821719672
2003-03-31,mango_rmse,small,2002Q4,194,0.00416311483428819,49.72532643241517,22.49021354301387
2003-06-30,mango_rmse,small,2003Q1,195,0.0023355672541120315,41.558256151502775,3.5910472596384064
2003-09-30,mango_rmse,small,2003Q2,196,0.0009506198619976942,44.82112739045704,47.21607032008438
2003-12-31,mango_rmse,small,2003Q3,197,0.002477582871979115,16.405976480435193,34.06180495306044
2004-03-31,mango_rmse,small,2003Q4,198,0.1083099961577426,30.99903323852907,1.0077890873345345
2004-06-30,mango_rmse,small,2004Q1,199,0.059132019686857225,31.18731949489761,20.556027302389396
2004-09-30,mango_rmse,small,2004Q2,200,0.05262617159174727,11.563497767530322,0.8182818768638258
2004-12-31,mango_rmse,small,2004Q3,201,0.054995008153039766,27.954336950979577,34.80359925722148
2005-03-31,mango_rmse,small,2004Q4,202,0.027995754018695463,42.93976411419432,32.292057459353195
2005-06-30,mango_rmse,small,2005Q1,203,0.035644757668508435,20.209226552495302,44.94604147785745
2005-09-30,mango_rmse,small,2005Q2,204,0.30727392176401885,18.741668167275755,45.07101962505726
2005-12-31,mango_rmse,small,2005Q3,205,0.24295712387561041,18.522581337099776,12.845701761762143
2006-03-31,mango_rmse,small,2005Q4,206,0.21516659324560888,38.094674751597644,7.241708066822638
2006-06-30,mango_rmse,small,2006Q1,207,0.22088491864270016,0.13093136385958593,32.09893402388288
2006-09-30,mango_rmse,small,2006Q2,208,0.02926717500288747,44.44492900241577,4.732806763770118
2006-12-31,mango_rmse,small,2006Q3,209,0.014911617356462544,47.261330872755,16.529250877665763
2007-03-31,mango_rmse,small,2006Q4,210,0.0012339529825344073,33.27472349764478,17.29568131716512
2007-06-30,mango_rmse,small,2007Q1,211,1.110765912997531,36.93927230343116,46.49484776103202
2007-09-30,mango_rmse,small,2007Q2,212,0.5420840848435526,33.56757475456548,31.945111109570444
2007-12-31,mango_rmse,small,2007Q3,213,4.077567304466368,4.108313237191689,0.007813159932097347
