model,model_size,optimization_horizon,lambda_mean,lambda_std,lambda_min,lambda_max,theta_mean,theta_std,theta_min,theta_max,miu_mean,miu_std,miu_min,miu_max
mango_mdd,medium,,0.9358210764101855,0.44391939785552587,0.2857924336521543,2.4089532239472966,5.038503481155601,5.502215785776634,0.0862853391170619,20.39186103945454,4.284499007633998,3.977522704127799,0.0317429248984285,17.030325342416653
mango_rmse,medium,h1q,1.1064701491413114,1.3528128543208489,0.004471484116219,4.947020618148998,27.4852272597318,15.24930655070733,0.0031051233696983,49.592492314230014,23.899079457252014,17.097504958418902,0.0347504595450175,49.97629294096803
mango_rmse,medium,h2q,0.830150704892233,1.2506454258447945,0.0049816559294249,4.992439404748003,22.500088967231484,15.881552499551367,0.0800746774462549,49.837279183451145,19.553610519353768,16.78689011881943,0.0209844757111947,49.89015501424827
mango_rmse,medium,h4q,1.0505546274455366,1.3991043432900243,0.0031119106477873,4.998739992909694,23.28900353983699,16.194114277539292,0.0133500670152063,48.4710785086038,21.79115724254613,17.507521470357823,0.0253782362736089,49.80977361258385
mango_rmse,medium,h8q,1.5275001942893038,1.9601694069287334,0.0012755404807609,4.995034466718266,23.300348870279453,15.058444929167315,0.0116452415933582,48.32484331664284,14.956791945921912,15.828789772971353,0.0180782979774532,49.662844374696846
mango_rmse_random,medium,h1q,1.6566948340435612,1.5228977553188046,0.0016360466772008,4.978659302734889,24.233002667708888,14.254640787036948,0.1204579473564071,48.90627014615254,14.342424501064167,14.15738797976465,0.0221366395654979,49.813299258715965
mango_rmse_random,medium,h2q,1.754428593449866,1.5677878547543422,0.0044340323329342,4.931775648765111,25.525591452180073,15.201131164955045,0.1252007781369796,49.803031871962304,13.16883338925473,13.719177614220918,0.0010044201096134,45.55353655726476
mango_rmse_random,medium,h4q,1.691675675453175,1.4965840429227846,0.0012755404807609,4.8997634779910335,25.924057246616552,15.142571091143052,0.2842279058539358,48.90298323433489,7.402401903236227,10.574401740886673,0.0101189784001857,40.65929650702149
mango_rmse_random,medium,h8q,2.3479582478547334,1.7626331234892358,0.0003378427590766,4.942172182247658,24.12171305046541,15.330005993290007,0.848339260008535,49.803031871962304,7.963145988897656,13.194696207380295,0.0063581452020319,46.92748978419141
paper,medium,,0.5700396942804988,0.0219393396640081,0.5394322237615421,0.6465828583592712,0.5894287749720111,0.08435667139930918,0.4606348623892484,0.703831675096611,0.07482178326654577,0.016173414387730078,0.0655376820597171,0.2092260196351867
