forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2000-03-31,mango_rmse,small,1999Q4,164,4.951762338230997,45.47356442163442,0.007474679533624728
2000-06-30,mango_rmse,small,2000Q1,183,3.6901861657797674,0.017112632043256616,32.68137053036292
2000-09-30,mango_rmse,small,2000Q2,184,0.11425072418022701,0.1717545850363365,5.556172578455894
2000-12-31,mango_rmse,small,2000Q3,185,4.412686736371368,0.4653405206948368,33.46678851178021
2001-03-31,mango_rmse,small,2000Q4,186,0.10201636907856829,16.82204975342738,24.906240583631472
2001-06-30,mango_rmse,small,2001Q1,187,4.948435277323827,14.084783933871602,0.025991403228901644
2001-09-30,mango_rmse,small,2001Q2,188,0.008643282947197978,29.331079362125138,39.5546199129718
2001-12-31,mango_rmse,small,2001Q3,189,4.072666242661069,0.10283024252279394,0.0020872413044432333
2002-03-31,mango_rmse,small,2001Q4,190,0.001868992285855079,4.724867377837209,0.12392784418999502
2002-06-30,mango_rmse,small,2002Q1,191,4.785243601940694,0.03615518974506501,0.007390102231603043
2002-09-30,mango_rmse,small,2002Q2,192,0.9070803337657924,0.012187555748815174,0.0023298221078038254
2002-12-31,mango_rmse,small,2002Q3,193,4.949032345559426,40.03621982103439,1.6975616315316888
2003-03-31,mango_rmse,small,2002Q4,194,3.5484420211449406,31.48967547551109,2.761271888778331
2003-06-30,mango_rmse,small,2003Q1,195,0.6727640837073094,0.007408533360378867,0.09200933837175845
2003-09-30,mango_rmse,small,2003Q2,196,4.775340539500213,0.01927842259884356,0.04647170882946649
2003-12-31,mango_rmse,small,2003Q3,197,0.026706515279943954,38.69324201063308,9.487203911647645
2004-03-31,mango_rmse,small,2003Q4,198,0.0039075043239171405,6.0953660983236455,21.825452819726678
2004-06-30,mango_rmse,small,2004Q1,199,0.011619070645277431,45.45567800566461,5.951630749075064
2004-09-30,mango_rmse,small,2004Q2,200,0.031154459456051997,12.392643457422668,34.73929090438305
2004-12-31,mango_rmse,small,2004Q3,201,0.00792077369880968,35.086273827338026,44.18580758060581
2005-03-31,mango_rmse,small,2004Q4,202,0.015757615553415327,22.240568080229604,2.9651874546731984
2005-06-30,mango_rmse,small,2005Q1,203,0.028841759903668468,20.107764267130428,5.726223209594322
2005-09-30,mango_rmse,small,2005Q2,204,0.03519337394728274,35.04941796230646,36.62838892246791
2005-12-31,mango_rmse,small,2005Q3,205,0.16301318118355532,19.261990443904327,38.452987324342985
2006-03-31,mango_rmse,small,2005Q4,206,4.957551760343856,5.847121981251607,0.02649779376575582
2006-06-30,mango_rmse,small,2006Q1,207,0.011895351150289415,0.2098185056953285,0.9953150711608874
2006-09-30,mango_rmse,small,2006Q2,208,0.42037468907610565,23.57054586137524,40.35480838544344
2006-12-31,mango_rmse,small,2006Q3,209,3.1794759866191358,29.03982864083623,0.294994665802092
2007-03-31,mango_rmse,small,2006Q4,210,0.32202506461700214,36.128143781057084,21.07140658019485
2007-06-30,mango_rmse,small,2007Q1,211,1.0604796476267886,17.069453829696982,0.26067853040548883
2007-09-30,mango_rmse,small,2007Q2,212,0.6302540152300049,44.67636391127431,6.040773028039857
2007-12-31,mango_rmse,small,2007Q3,213,4.881670736581739,2.4839960800063223,0.4034881484205311
2008-03-31,mango_rmse,small,2007Q4,214,3.937501658185117,0.8724111254305674,0.2812783830477338
2008-06-30,mango_rmse,small,2008Q1,215,0.6106240424168372,38.89854012469059,44.98660522914281
2008-09-30,mango_rmse,small,2008Q2,216,4.9073920170663,31.45228202864746,48.112511136013886
2008-12-31,mango_rmse,small,2008Q3,217,4.985522839257736,16.509384289974367,46.09883159551572
2009-03-31,mango_rmse,small,2008Q4,218,4.990695487643548,31.39023082811674,49.44299973304219
2009-06-30,mango_rmse,small,2009Q1,219,4.983615260801382,23.50296173022921,45.435525487631665
2009-09-30,mango_rmse,small,2009Q2,220,4.794461716371812,23.896472533348902,49.95503440223073
2009-12-31,mango_rmse,small,2009Q3,221,4.3770876999552355,0.2030451527853532,0.031484012198433976
2010-03-31,mango_rmse,small,2009Q4,222,0.00307500730824507,13.492195382371658,29.04666999253128
2010-06-30,mango_rmse,small,2010Q1,223,0.0034742185971783665,49.59045742273819,32.26977538301038
2010-09-30,mango_rmse,small,2010Q2,224,0.002917682386769176,9.613087635728345,11.168502894899104
2010-12-31,mango_rmse,small,2010Q3,225,0.007667535614547326,1.3404740229283152,21.414221609852067
2011-03-31,mango_rmse,small,2010Q4,226,0.002295537248269625,37.993098005153044,18.635227346567802
2011-06-30,mango_rmse,small,2011Q1,227,0.006334300687914298,40.23239051500064,26.277599449724153
2011-09-30,mango_rmse,small,2011Q2,228,0.002039901910118485,41.40619925497705,21.93305383296131
2011-12-31,mango_rmse,small,2011Q3,229,0.49929112995894676,5.004597198767173,47.607790867872566
2012-03-31,mango_rmse,small,2011Q4,230,4.933822175430941,2.9146603818616685,24.19257422775718
2012-06-30,mango_rmse,small,2012Q1,231,4.991266923986368,1.8271250761072377,21.51690579527929
2012-09-30,mango_rmse,small,2012Q2,232,1.2481471356273357,0.12611150933881518,22.591614287662367
2012-12-31,mango_rmse,small,2012Q3,233,3.248608470581176,0.5153650140871222,2.5200436362694867
