forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2000-03-31,mango_rmse_random,small,1999Q4,164,2.0975293211961357,16.142519161138157,2.414696707823782
2000-06-30,mango_rmse_random,small,2000Q1,183,0.019584108465143676,1.956711332783401,17.028231994085367
2000-09-30,mango_rmse_random,small,2000Q2,184,0.6885854642867948,3.972072511498856,11.226520013171758
2000-12-31,mango_rmse_random,small,2000Q3,185,4.822738273533724,0.09632509284989021,22.212289349468495
2001-03-31,mango_rmse_random,small,2000Q4,186,1.6801636360238832,0.07575500018544853,8.871291362917974
2001-06-30,mango_rmse_random,small,2001Q1,187,2.753502964543324,26.02196456626892,15.48153682716579
2001-09-30,mango_rmse_random,small,2001Q2,188,0.01841547240109899,43.34424284506394,33.414186466754565
2001-12-31,mango_rmse_random,small,2001Q3,189,0.5874168004676734,31.224749169183738,37.448310389274866
2002-03-31,mango_rmse_random,small,2001Q4,190,0.014868993451761613,23.003125819252002,24.036286708577368
2002-06-30,mango_rmse_random,small,2002Q1,191,0.3869810832550824,19.167527755706814,39.599256416848256
2002-09-30,mango_rmse_random,small,2002Q2,192,0.1785767671539511,33.2651656095795,0.04945141334452219
2002-12-31,mango_rmse_random,small,2002Q3,193,0.03530911121642569,36.60370970044779,29.699866285528557
2003-03-31,mango_rmse_random,small,2002Q4,194,0.86791950747493,25.86327868983807,0.5543497412443579
2003-06-30,mango_rmse_random,small,2003Q1,195,0.07449516322112076,21.320235571951446,31.2662084466403
2003-09-30,mango_rmse_random,small,2003Q2,196,2.1559005996667917,11.345379178745988,14.158559456084888
2003-12-31,mango_rmse_random,small,2003Q3,197,0.37361256993240843,0.9941849440015442,48.85132917496143
2004-03-31,mango_rmse_random,small,2003Q4,198,0.5056724414685255,25.44322463301535,0.06473362232091337
2004-06-30,mango_rmse_random,small,2004Q1,199,2.3292072877566006,13.56307760767373,0.08572202115342586
2004-09-30,mango_rmse_random,small,2004Q2,200,1.2609684104101415,32.81820780389885,2.6250549128928355
2004-12-31,mango_rmse_random,small,2004Q3,201,0.05836594461284782,7.409957209714432,11.642036649812425
2005-03-31,mango_rmse_random,small,2004Q4,202,4.976404126800517,33.35924555513304,28.357735707822687
2005-06-30,mango_rmse_random,small,2005Q1,203,4.87648138995623,13.979979870287805,0.04412284803096523
2005-09-30,mango_rmse_random,small,2005Q2,204,0.30255932498097454,26.972132582221935,0.015469218107994129
2005-12-31,mango_rmse_random,small,2005Q3,205,0.10810796943413256,14.275514956003413,11.481630790940793
2006-03-31,mango_rmse_random,small,2005Q4,206,4.818325430244495,42.39026825611518,0.010159789494579826
2006-06-30,mango_rmse_random,small,2006Q1,207,1.5351918464295418,40.67011667183975,29.425758946648063
2006-09-30,mango_rmse_random,small,2006Q2,208,0.021231649877446995,36.19195454270657,47.72314350610754
2006-12-31,mango_rmse_random,small,2006Q3,209,2.2609970737663923,8.011856857010555,5.851953721252526
