forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,mango_rmse_random,medium,1999Q4,164,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2000-06-30,mango_rmse_random,medium,2000Q1,183,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2000-09-30,mango_rmse_random,medium,2000Q2,184,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2000-12-31,mango_rmse_random,medium,2000Q3,185,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2001-03-31,mango_rmse_random,medium,2000Q4,186,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2001-06-30,mango_rmse_random,medium,2001Q1,187,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2001-09-30,mango_rmse_random,medium,2001Q2,188,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2001-12-31,mango_rmse_random,medium,2001Q3,189,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2002-03-31,mango_rmse_random,medium,2001Q4,190,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2002-06-30,mango_rmse_random,medium,2002Q1,191,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2002-09-30,mango_rmse_random,medium,2002Q2,192,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2002-12-31,mango_rmse_random,medium,2002Q3,193,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2003-03-31,mango_rmse_random,medium,2002Q4,194,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2003-06-30,mango_rmse_random,medium,2003Q1,195,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2003-09-30,mango_rmse_random,medium,2003Q2,196,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2003-12-31,mango_rmse_random,medium,2003Q3,197,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2004-03-31,mango_rmse_random,medium,2003Q4,198,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2004-06-30,mango_rmse_random,medium,2004Q1,199,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2004-09-30,mango_rmse_random,medium,2004Q2,200,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2004-12-31,mango_rmse_random,medium,2004Q3,201,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2005-03-31,mango_rmse_random,medium,2004Q4,202,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2005-06-30,mango_rmse_random,medium,2005Q1,203,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2005-09-30,mango_rmse_random,medium,2005Q2,204,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2005-12-31,mango_rmse_random,medium,2005Q3,205,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2006-03-31,mango_rmse_random,medium,2005Q4,206,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2006-06-30,mango_rmse_random,medium,2006Q1,207,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2006-09-30,mango_rmse_random,medium,2006Q2,208,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2006-12-31,mango_rmse_random,medium,2006Q3,209,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2007-03-31,mango_rmse_random,medium,2006Q4,210,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2007-06-30,mango_rmse_random,medium,2007Q1,211,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2007-09-30,mango_rmse_random,medium,2007Q2,212,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2007-12-31,mango_rmse_random,medium,2007Q3,213,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2008-03-31,mango_rmse_random,medium,2007Q4,214,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2008-06-30,mango_rmse_random,medium,2008Q1,215,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2008-09-30,mango_rmse_random,medium,2008Q2,216,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2008-12-31,mango_rmse_random,medium,2008Q3,217,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2009-03-31,mango_rmse_random,medium,2008Q4,218,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2009-06-30,mango_rmse_random,medium,2009Q1,219,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2009-09-30,mango_rmse_random,medium,2009Q2,220,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
2009-12-31,mango_rmse_random,medium,2009Q3,221,4.446323515286829,32.29979744214761,10.382824587130598,"[27.844752504921335, 32.2208489415103, 60.25477655513505, 2.095896587632023, 1464.6095026770247, 51.15992171041349, 20.329716438821684]"
