strategy,forecast_origin,group,target_quarter,horizon_quarters,variable,actual_level,actual_metric,mean_level,median_level,p95_level,p84_level,p16_level,p05_level,mean_metric,median_metric,p95_metric,p84_metric,p16_metric,p05_metric,error_metric
paper,1997-07-31,+0 months,1997Q3,1,CPI,160.79999999999998,0.4987541511039417,161.29384996292467,161.29989747267027,162.82994526224516,162.23072237208518,160.34800850087555,159.7220815406614,0.6955884205839702,0.6983754994014824,1.4928373106209314,1.1831086350564846,0.19889391719853933,-0.1306084040066935,0.19683426948002847
paper,1997-07-31,+0 months,1997Q4,2,CPI,161.66666666666666,0.5375245524507299,162.85153245752966,162.86936258728932,165.58096576234516,164.51556748055233,161.16465466697213,160.11852776285693,0.9611085455548896,0.9683073449429536,1.6753918685266989,1.3985666690427223,0.508003581755645,0.24790249499027084,0.4235839931041596
paper,1997-07-31,+0 months,1998Q1,3,CPI,162.0,0.2059732963010319,164.47630360259538,164.49620089830054,168.38354007428313,166.7825379889337,162.1225810094016,160.58121664337114,0.9927566863392023,0.9939052146494376,1.6784059707952714,1.3685595260757744,0.5926179819153887,0.2885497787992186,0.7867833900381704
paper,1997-07-31,+0 months,1998Q2,4,CPI,162.53333333333333,0.3286773706623336,166.12135848392012,166.15143347453113,171.10974890570816,169.09856680690152,163.11205768188287,161.11553990592515,0.9952087674554022,1.0012147260531457,1.6060803094856801,1.3790984322425537,0.6084713050887203,0.33219094879521904,0.6665313967930686
paper,1997-07-31,+0 months,1998Q3,5,CPI,163.36666666666667,0.5114054308385185,167.82149687478727,167.8225114087555,173.83577763529553,171.5201819018841,164.18661669646974,161.77733377121905,1.0182299472171863,1.0007318869296178,1.5805889755750258,1.4219157959460382,0.6566252536685191,0.4099160098767207,0.5068245163786678
paper,1997-07-31,+0 months,1998Q4,6,CPI,164.13333333333333,0.4681942394796579,169.5348257961392,169.55073285410325,176.65877449952126,173.8464875249701,165.20091274231788,162.3355895675685,1.0157471712468613,1.0245249684898816,1.6108997381135914,1.3471715783790472,0.6158698561287146,0.34448262208055525,0.5475529317672034
paper,1997-07-31,+0 months,1999Q1,7,CPI,164.73333333333332,0.3648899244210746,171.26052226757628,171.2530841030223,179.51627720258713,176.1971209257022,166.30383996975823,162.88606024989653,1.0127551512771227,0.9990295430577056,1.6045840375449316,1.3430719365481458,0.6654090404028423,0.3385206417340747,0.6478652268560481
paper,1997-07-31,+0 months,1997Q3,1,FF,5.533333333333334,5.533333333333334,5.931465387140425,5.934230954360072,8.013278256978928,7.1944075353097885,4.647614750210496,3.855127943436051,5.931465387140425,5.934230954360072,8.013278256978928,7.1944075353097885,4.647614750210496,3.855127943436051,0.3981320538070907
paper,1997-07-31,+0 months,1997Q4,2,FF,5.506666666666667,5.506666666666667,6.15564947389752,6.160206295951965,9.403188277712925,8.119142777383766,4.186909754607046,2.9006899539470017,6.15564947389752,6.160206295951965,9.403188277712925,8.119142777383766,4.186909754607046,2.9006899539470017,0.648982807230853
paper,1997-07-31,+0 months,1998Q1,3,FF,5.52,5.52,6.258969760804321,6.227793154042466,10.25593299539155,8.722181338347943,3.8433437990689887,2.1717380619012125,6.258969760804321,6.227793154042466,10.25593299539155,8.722181338347943,3.8433437990689887,2.1717380619012125,0.7389697608043218
paper,1997-07-31,+0 months,1998Q2,4,FF,5.5,5.5,6.3210713116503525,6.330724503959743,10.855473145051137,9.031615378919605,3.5621386649937037,1.6201901898014017,6.3210713116503525,6.330724503959743,10.855473145051137,9.031615378919605,3.5621386649937037,1.6201901898014017,0.8210713116503525
paper,1997-07-31,+0 months,1998Q3,5,FF,5.533333333333334,5.533333333333334,6.35554969342422,6.366218770640924,11.327286877284637,9.3078081774032,3.37597612547451,1.3039006856799746,6.35554969342422,6.366218770640924,11.327286877284637,9.3078081774032,3.37597612547451,1.3039006856799746,0.8222163600908861
paper,1997-07-31,+0 months,1998Q4,6,FF,4.86,4.86,6.38950947178358,6.384327564458534,11.802755530977066,9.569820074733826,3.168366095541914,1.0054911571908263,6.38950947178358,6.384327564458534,11.802755530977066,9.569820074733826,3.168366095541914,1.0054911571908263,1.5295094717835793
paper,1997-07-31,+0 months,1999Q1,7,FF,4.733333333333333,4.733333333333333,6.400620851577409,6.392643788471614,12.088797960048533,9.764394192618639,3.0557645775981483,0.6817285252422333,6.400620851577409,6.392643788471614,12.088797960048533,9.764394192618639,3.0557645775981483,0.6817285252422333,1.6672875182440752
paper,1997-07-31,+0 months,1997Q3,1,GDP,9924.2,1.2471391630674233,7187.12778542079,7183.678954507144,7430.352783019083,7330.204772839296,7042.47701093237,6950.852581678029,0.8461149408038438,0.855836691472156,1.8605349957450557,1.4397367794611426,0.14663719741303538,-0.4030445900207624,-0.4010242222635796
paper,1997-07-31,+0 months,1997Q4,2,GDP,10000.3,0.7638873753526454,7230.043118472229,7226.36190833391,7517.480501322501,7397.665631164272,7058.2846157360445,6953.557671357151,0.5953381574038019,0.5924074617359665,1.165770361230578,0.9161043419931403,0.22420932775464308,0.03890980867247151,-0.16854921794884348
paper,1997-07-31,+0 months,1998Q1,3,GDP,10094.8,0.9405347236475237,7262.408704504425,7259.570465134959,7590.479516846983,7449.252057801707,7071.288708717258,6949.8085678206035,0.4466551310366995,0.45849468463607934,0.9663724756471481,0.6949137230035873,0.18406920512390457,-0.05393087634910643,-0.49387959261082415
paper,1997-07-31,+0 months,1998Q2,4,GDP,10185.6,0.895451832510652,7292.611007518558,7289.839712299613,7655.090214229403,7500.30617900932,7079.815115725949,6946.197814932923,0.4150093501793961,0.4160895935518383,0.8476047185189017,0.6830211151287457,0.12050520081370308,-0.05196821114630268,-0.48044248233125586
paper,1997-07-31,+0 months,1998Q3,5,GDP,10320.0,1.310880194778008,7320.778112844245,7313.963214116578,7716.596916373909,7547.190157167482,7089.119238989751,6950.610700412356,0.3854977100237633,0.33037317581072756,0.8002638861142941,0.623148580001498,0.13133132482909815,0.0635093391823105,-0.9253824847542447
paper,1997-07-31,+0 months,1998Q4,6,GDP,10498.6,1.7158154887049193,7348.796955480992,7342.0210168087515,7772.959871885185,7591.137195610608,7102.486930477365,6950.680450027406,0.38199984086872973,0.3828857417927267,0.7277574826003885,0.5806078951195559,0.18838875996856075,0.0010034983699114264,-1.3338156478361896
paper,1997-07-31,+0 months,1999Q1,7,GDP,10592.1,0.8866525297232641,7377.160337748704,7369.838511825731,7830.429590605292,7643.88226639024,7110.045136313217,6951.602609239956,0.38521661820745123,0.3781646788290516,0.7366345463788448,0.6924215836878744,0.1063597466355759,0.013266298923220177,-0.5014359115158129
paper,1997-07-31,+0 months,1997Q3,1,GOV,1948.2,0.11298855909052108,1282.7865578771452,1285.2408758662675,1329.4574786824242,1311.910840962432,1252.562322171364,1228.5077437689554,0.06121368664819826,0.09432378063580771,1.476162030258621,0.8752350206045811,-0.8458954238010463,-1.551099768808406,-0.05177487244232282
paper,1997-07-31,+0 months,1997Q4,2,GOV,1951.5,0.1692438283813935,1286.0431667698467,1287.3707554582013,1339.745329000089,1319.2352757999156,1252.608584469404,1227.2193460017415,0.25354819014227203,0.16558115905453974,0.7708594665114532,0.5567500573590678,0.003693344667432541,-0.10493005438547698,0.08430436176087852
paper,1997-07-31,+0 months,1998Q1,3,GOV,1939.7,-0.6064985696423442,1289.0665033283242,1289.853454663032,1349.289770556557,1325.7014972585923,1251.8113240833138,1224.436151971458,0.23481236412790096,0.19266464772877967,0.709881521385558,0.4889519029021905,-0.06366826986949903,-0.2270461921095368,0.8413109337702451
paper,1997-07-31,+0 months,1998Q2,4,GOV,1981.9,2.1522658606055955,1292.020712269871,1292.9727356068206,1358.9350362146167,1332.6929827051615,1250.7899157873849,1223.3752171247925,0.22891208121258444,0.24154025323683825,0.7122973258862686,0.525994288560927,-0.08162773488411545,-0.08668436845207239,-1.923353779393011
paper,1997-07-31,+0 months,1998Q3,5,GOV,2000.2,0.9191195012113518,1295.022247106715,1295.694521983651,1367.8194662280785,1340.0103002185158,1250.200545301261,1220.0443642859764,0.23204378363814726,0.21028483841032397,0.6516509971971729,0.5475606546059275,-0.047130967207031915,-0.2726387991153878,-0.6870757175732045
paper,1997-07-31,+0 months,1998Q4,6,GOV,2018.1,0.890929915725458,1298.1168456200428,1298.2127430267176,1376.7993546601656,1346.7734399248905,1249.2169619162303,1218.6621035892324,0.23867597315323508,0.19416436880161925,0.6543655830479445,0.5034386571320937,-0.07870501290510035,-0.11336016556118267,-0.6522539425722229
paper,1997-07-31,+0 months,1999Q1,7,GOV,2028.4,0.5090830221194054,1301.0798585780262,1300.5722860834453,1388.56499721738,1352.7866860433421,1248.774960696349,1216.9670611366248,0.22799461362144058,0.1815882174682315,0.850934058211017,0.4454989541427423,-0.03538852311679719,-0.1391872581268494,-0.2810884084979648
paper,1997-07-31,+0 months,1997Q3,1,HRS,97.5,0.7205383721269776,141.40034754226215,141.394346853509,143.36107435727473,142.55569610197915,140.2374484768328,139.487310885679,0.8492336045319071,0.8476880193418523,1.914470758869946,1.4758226422642906,0.21000732221381213,-0.19907968286787536,0.12869523240492953
paper,1997-07-31,+0 months,1997Q4,2,HRS,98.23333333333333,0.7493223071738164,142.25084416935707,142.23819267670703,145.49464429048828,144.21849164094743,140.3193109172173,139.06950868430596,0.599679607003889,0.5950292687574965,1.4772833613844405,1.1596679511649555,0.05835713449533486,-0.29997651130599934,-0.14964270016992742
paper,1997-07-31,+0 months,1998Q1,3,HRS,98.83333333333333,0.6089328694130813,142.8669506007174,142.84649828166823,147.08551175455486,145.38238634012941,140.3356541895204,138.7121915331815,0.43217743796937214,0.4267549591105535,1.0874853331559464,0.8037965725690377,0.011646522850838892,-0.2572648579231007,-0.1767554314437092
paper,1997-07-31,+0 months,1998Q2,4,HRS,99.16666666666667,0.3367006547904339,143.38104565948098,143.31082396681245,148.4408230149271,146.38168051635478,140.45093158758056,138.48879127031472,0.35919595471431975,0.32452504727498166,0.9172250339703147,0.6850042189810779,0.08211033601757123,-0.16118291426918674,0.02249529992388588
paper,1997-07-31,+0 months,1998Q3,5,HRS,99.66666666666667,0.5029348405002132,143.87332034463762,143.82826144177082,149.6585714379398,147.22538004828473,140.48050986337984,138.42293654038474,0.34274512441196947,0.3604093356541327,0.817012861812394,0.5747149626238901,0.02105729124215472,-0.04756369958913709,-0.16018971608824373
paper,1997-07-31,+0 months,1998Q4,6,HRS,100.33333333333333,0.6666691358189425,144.37836608737612,144.23694169385703,150.64046465540247,148.09836013980993,140.67612963802836,138.4629531651811,0.3504203328670741,0.2837416819705396,0.6539459662724845,0.5912038318911073,0.13915360957614809,0.028904777428362394,-0.3162488029518684
paper,1997-07-31,+0 months,1999Q1,7,HRS,100.56666666666666,0.2322881416139566,144.86304772230633,144.7090111095981,151.73072429580466,148.93537951238673,140.93786595124263,138.21374973477583,0.3351401738803439,0.3267530354205128,0.7211430223015292,0.5635868767483565,0.18588308299829492,-0.18014057214310597,0.10285203226638728
paper,1997-07-31,+0 months,1997Q3,1,INVFIX,1497.5,3.776601214470965,1124.7171810655695,1124.1413386726927,1191.3124153148135,1163.1582607364358,1085.5462454588348,1060.981483686398,1.5018080686514779,1.4416804866653976,4.550100716563676,3.178571740498093,-0.3725580494537972,-1.5073503923286324,-2.274793145819487
paper,1997-07-31,+0 months,1997Q4,2,INVFIX,1510.4,0.8577465401631734,1133.5376314609098,1131.8027286297504,1222.2782611556117,1185.4538546921428,1082.3096760823757,1050.2001608975102,0.7811780319238792,0.6792206883442731,2.566097502594644,1.898675698411889,-0.2985965763746101,-1.0213632294952646,-0.07656850823929418
paper,1997-07-31,+0 months,1998Q1,3,INVFIX,1555.8,2.96153663814378,1138.3100324412328,1135.8079494210467,1244.603081710743,1200.1154198794566,1075.9511795991373,1040.5879394087842,0.4201345077906815,0.3532550799069334,1.8100124767631343,1.2292034399903784,-0.5892257984526417,-0.9194895657014257,-2.5414021303530987
paper,1997-07-31,+0 months,1998Q2,4,INVFIX,1610.1,3.4306406078219,1141.5560538906948,1137.8222169838482,1264.3212846751555,1211.7369104620636,1071.3285027567138,1030.0859980917057,0.284755640895451,0.1771852009653685,1.5718775124947904,0.9637058106515717,-0.4305618892413321,-1.0143587722046377,-3.145884966926449
paper,1997-07-31,+0 months,1998Q3,5,INVFIX,1640.7,1.8826691169944176,1144.0406492903023,1141.0924974558923,1280.7935529876352,1223.207814800203,1064.5781893275591,1019.0060085166137,0.21741336735772165,0.2870035193616616,1.294440476521963,0.9421970920652889,-0.6320815350781217,-1.081464134245902,-1.665255749636696
paper,1997-07-31,+0 months,1998Q4,6,INVFIX,1690.9,3.0137951523546036,1146.3750107373041,1142.9226280320029,1295.886736684425,1232.0602535973167,1059.1450125004503,1008.8323279792002,0.20383743405245625,0.16025559089900554,1.1715350472057295,0.721100662739893,-0.5116663674360922,-1.0034099576897049,-2.8099577183021474
paper,1997-07-31,+0 months,1999Q1,7,INVFIX,1722.2,1.8341611717681339,1148.898664586168,1144.2887048367713,1313.8589007214043,1244.316069612386,1055.722667457628,1000.0879278308452,0.2199001272001233,0.1194534975913264,1.3773333228717988,0.9898266240359277,-0.32364653945906596,-0.8705627164315111,-1.6142610445680106
paper,1997-07-31,+0 months,1997Q3,1,IP,80.93976666666667,2.297215452064094,120.82044909070208,120.82485429573809,123.75428231857724,122.54388882324,119.06220846511498,117.86067262042701,0.9861466855330292,0.9940367651434023,2.967045434804394,2.149492271257092,-0.227666978769836,-1.0818398337302249,-1.311068766531065
paper,1997-07-31,+0 months,1997Q4,2,IP,82.90393333333334,2.3977251088923346,121.63287993763505,121.65059449529845,126.54899828410431,124.5377750639086,118.69609589580595,116.90456345015622,0.6701775479561078,0.6810944330880808,2.233156594111918,1.6139842124629489,-0.30797061718796925,-0.8145281408824978,-1.7275475609362267
paper,1997-07-31,+0 months,1998Q1,3,IP,83.80546666666666,1.0815732307459136,122.093023817357,122.0570127735504,128.4126627657516,125.82999258992146,118.29490582378438,115.86995224561986,0.3775917285302022,0.3335297240519175,1.461943467846627,1.0322646662340063,-0.3385702008485758,-0.8889444057402329,-0.7039815022157114
paper,1997-07-31,+0 months,1998Q2,4,IP,84.40826666666668,0.7167103046898937,122.45006311377138,122.37804694827135,129.92392990125978,126.82608895657798,118.12522620400891,115.20896846056267,0.29200543314704674,0.2626745604132452,1.1700118515892477,0.7885038994368543,-0.14354077840499357,-0.5720864419612504,-0.424704871542847
paper,1997-07-31,+0 months,1998Q3,5,IP,85.02913333333333,0.7328599771665445,122.78628201212535,122.63318209285451,130.92601455628483,127.70860777969767,117.91056227763126,114.87119503121316,0.2742000651154264,0.2082641173632105,0.7683264696406233,0.6934397320467411,-0.1818910487617842,-0.29361390124460485,-0.4586599120511181
paper,1997-07-31,+0 months,1998Q4,6,IP,86.21159999999999,1.3810796516803059,123.10953487295943,122.98102894841607,132.1783417995042,128.41448554518533,117.8128455054438,114.26524555630192,0.2629187036521152,0.2832467117009685,0.9519695668969597,0.5512033636002833,-0.08290799687964423,-0.5288996249570133,-1.1181609480281907
paper,1997-07-31,+0 months,1999Q1,7,IP,87.02116666666666,0.934664470083213,123.43162355590688,123.23248522850825,133.46430884357977,129.2664100595975,117.66027186863957,113.99999856107365,0.26128608159607936,0.20425878600462966,0.9682007664273407,0.661226837483575,-0.12958902473245715,-0.2324025417353326,-0.6733783884871336
paper,1997-07-31,+0 months,1997Q3,1,PCE,6563.033333333333,1.6861266579072165,4852.636857022399,4852.505662357824,4918.2321873567835,4892.099545854241,4813.102284888248,4789.28078622133,0.7321134399166596,0.728477764355695,1.7507179809486573,1.347378377922226,0.11102266137452688,-0.252980160075289,-0.9540132179905569
paper,1997-07-31,+0 months,1997Q4,2,PCE,6638.133333333334,1.1377905010654388,4878.160764778601,4877.60736204435,4973.432638291398,4935.5167865472495,4820.0426806862415,4783.372385742841,0.5246017291595351,0.5159602012968278,1.1161118969504003,0.8835819734031247,0.14409410475320072,-0.12344333640061933,-0.6131887719059037
paper,1997-07-31,+0 months,1998Q1,3,PCE,6704.133333333334,0.9893452138260983,4901.558870293522,4900.956169073015,5025.892249207322,4973.801358461972,4829.541068007465,4780.763867306911,0.47850349565567996,0.47755176571531166,1.0492726821151876,0.7727022554322005,0.1968663236940671,-0.054547915914149314,-0.5108417181704183
paper,1997-07-31,+0 months,1998Q2,4,PCE,6819.433333333333,1.7052127843522058,4924.646330399512,4923.562105661113,5069.351555467832,5011.868546654021,4837.373797322389,4780.72609364285,0.46991696427216567,0.46019511291142123,0.8609910879410876,0.7624400358130501,0.16205234323809492,-0.000790120874682998,-1.2352958200800401
paper,1997-07-31,+0 months,1998Q3,5,PCE,6909.933333333333,1.3183610430450798,4947.248853324144,4945.548493664171,5115.861268351222,5047.324982423948,4848.774726672049,4783.4485670805325,0.4579173907275802,0.4455604009161007,0.9132855044859056,0.7049587525333578,0.23540697494794927,0.056930652310072105,-0.8604436523174996
paper,1997-07-31,+0 months,1998Q4,6,PCE,7015.833333333333,1.5209509681886502,4970.17903440607,4969.121579404959,5163.776121178492,5080.628730490774,4858.061125903996,4787.524567400306,0.46242276126591264,0.4755202137134873,0.9322352145206381,0.6576623284129113,0.19133736690530867,0.08517421392610913,-1.0585282069227375
paper,1997-07-31,+0 months,1999Q1,7,PCE,7085.099999999999,0.9824487807506443,4992.97040114763,4988.944151020866,5206.428262683033,5118.976283140742,4869.005169883456,4788.979258028037,0.45751409520757846,0.3981214491837193,0.8225948194379384,0.7519454584066665,0.22502259704229033,0.030380411587316303,-0.5249346855430659
