model,model_size,optimization_horizon,lambda_mean,lambda_std,lambda_min,lambda_max,theta_mean,theta_std,theta_min,theta_max,miu_mean,miu_std,miu_min,miu_max
mango_mdd,small,,1.7718085706583273,0.9934149678235322,0.4054539695243735,4.64054039257928,1.4261023470709806,1.273057704826255,0.0302396023176755,6.225851607400133,1.7784139524795246,3.4326157834477677,0.028678209088023,26.6738383177557
mango_rmse,small,h1q,0.9433462722885878,1.3414919633670326,0.0026009074260017,4.745179028050093,27.2267970608722,14.521909638050346,0.0564690142950636,49.52277154564363,23.534278924440112,16.009083970238496,0.2703369672134768,49.446063110014144
mango_rmse,small,h2q,0.7715438982626958,1.1475574435819613,0.0019611482178412,4.645571711056155,26.070372634273763,14.951092804124894,0.1168228988437107,49.81158566112402,21.096056505664087,14.648450394307492,0.0340302000333533,49.2816996917128
mango_rmse,small,h4q,1.0925156888186085,1.5903869331482414,0.0114734863622004,4.97947931301695,27.52143683195144,14.875244301484221,0.2039491910678943,49.93797178441537,23.589354721528725,15.156745475160786,0.0539132612262407,49.99245935307102
mango_rmse,small,h8q,1.5142063059257456,1.765654080751247,0.0015726956740947,4.989127960336517,24.71466626400433,13.676006864299236,0.2995035324550019,49.88727806137603,23.923801980340766,16.281628779629653,0.0417666158309238,49.34558305743994
mango_rmse_random,small,h1q,1.5665748609972672,1.4824512334896836,0.000146301449616,4.90126520873859,24.66097465590132,14.315533327483038,0.1483098941468183,49.52014137560923,22.06736337186254,17.583154543939166,0.1089323676064027,49.1170863219208
mango_rmse_random,small,h2q,1.849633477474144,1.5733294317216173,0.0129435737135155,4.994824252436522,23.982178337819548,16.270808761356708,0.016369634003884,49.57342622656349,20.437067984840322,17.403414464001493,0.1024083624316303,49.61630639539183
mango_rmse_random,small,h4q,2.0793680380208617,1.824188284695256,0.0041677087213858,4.964567315888314,22.721335623439124,14.559339043032498,0.0892677947936206,48.192407656895455,18.04397625647884,17.472026785549808,0.0004136498456874,49.54299410299013
mango_rmse_random,small,h8q,2.93759047206515,1.6725985722855807,0.0154460600579907,4.935815107862245,21.81251718436561,14.84219416588813,0.04956157988392,49.618674360173706,4.522132735501115,8.509084587825397,0.0202090617661518,49.446063110014144
paper,small,,0.8332851555237502,0.01405941763597231,0.812442362148603,0.8570842359819472,0.6555615144047071,0.06062981802540824,0.5840914826344639,0.8079879951845432,0.11581238182360065,0.020124029441667985,0.1017417143585214,0.2873034970500309
