model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n
mango_rmse,small,FFR,2,h4q,0.771845647546276,80
mango_rmse,small,FFR,2,h8q,0.8212435974725318,80
mango_rmse_random,small,FFR,2,h1q,0.7286338158470866,80
mango_rmse_random,small,FFR,2,h2q,0.6820893053770666,80
mango_rmse_random,small,FFR,2,h4q,0.7424856648288604,80
mango_rmse_random,small,FFR,2,h8q,0.7418210543212707,80
paper,small,FFR,2,,0.7465228768822912,80
mango_mdd,small,FFR,3,,1.112582921667329,80
mango_rmse,small,FFR,3,h1q,1.180244900305019,80
mango_rmse,small,FFR,3,h2q,1.1832751108726192,80
mango_rmse,small,FFR,3,h4q,1.1709932752136487,80
mango_rmse,small,FFR,3,h8q,1.2015812858021855,80
mango_rmse_random,small,FFR,3,h1q,1.0514936475879584,80
mango_rmse_random,small,FFR,3,h2q,1.0124076677043732,80
mango_rmse_random,small,FFR,3,h4q,1.0734457293350266,80
mango_rmse_random,small,FFR,3,h8q,1.065509775797425,80
paper,small,FFR,3,,1.0716737968984424,80
mango_mdd,small,FFR,4,,1.4190727570154453,80
mango_rmse,small,FFR,4,h1q,1.551892610832247,80
mango_rmse,small,FFR,4,h2q,1.5596219973171082,80
mango_rmse,small,FFR,4,h4q,1.5417348848022578,80
mango_rmse,small,FFR,4,h8q,1.5645654475802724,80
mango_rmse_random,small,FFR,4,h1q,1.351672158888646,80
mango_rmse_random,small,FFR,4,h2q,1.3176259292589658,80
mango_rmse_random,small,FFR,4,h4q,1.389983837485528,80
mango_rmse_random,small,FFR,4,h8q,1.3683612588080107,80
paper,small,FFR,4,,1.3632751243714705,80
mango_mdd,small,FFR,5,,1.6942312406088262,80
mango_rmse,small,FFR,5,h1q,1.9004769500991234,80
mango_rmse,small,FFR,5,h2q,1.8998198252957554,80
mango_rmse,small,FFR,5,h4q,1.8919895313865793,80
mango_rmse,small,FFR,5,h8q,1.9008713555479035,80
mango_rmse_random,small,FFR,5,h1q,1.6304233227848126,80
mango_rmse_random,small,FFR,5,h2q,1.5875797305808417,80
mango_rmse_random,small,FFR,5,h4q,1.681892637043501,80
mango_rmse_random,small,FFR,5,h8q,1.6538792303503647,80
paper,small,FFR,5,,1.631437150478811,80
mango_mdd,small,FFR,6,,1.9483790039874949,80
mango_rmse,small,FFR,6,h1q,2.2143656750368232,80
mango_rmse,small,FFR,6,h2q,2.201179640841607,80
mango_rmse,small,FFR,6,h4q,2.204225086000473,80
mango_rmse,small,FFR,6,h8q,2.191562695796078,80
mango_rmse_random,small,FFR,6,h1q,1.8762926575921888,80
mango_rmse_random,small,FFR,6,h2q,1.8412299703685995,80
mango_rmse_random,small,FFR,6,h4q,1.9537864508521585,80
mango_rmse_random,small,FFR,6,h8q,1.9136624610661859,80
paper,small,FFR,6,,1.8778269111574983,80
mango_mdd,small,FFR,7,,2.1641624803720583,80
mango_rmse,small,FFR,7,h1q,2.480742630379461,80
mango_rmse,small,FFR,7,h2q,2.457616313607871,80
mango_rmse,small,FFR,7,h4q,2.467400143575393,80
mango_rmse,small,FFR,7,h8q,2.4356504134959485,80
