forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,mango_mdd,medium,1999Q4,164,2.4089532239472966,18.260946456705778,0.7967385214578491,"[18.85651196125417, 5.25954652802361, 38.936877848999714, 2.37629147083031, 806.1086770434781, 17.377013836411606, 3.7743852550270334]"
2000-06-30,mango_mdd,medium,2000Q1,183,0.5204672349775052,0.559839628360651,2.695205113560793,"[8.815396531268984, 1.1847485296503915, 9.500801753086623, 6.831427599625786, 140.55965655755335, 14.862406692800972, 13.633484323125325]"
2000-09-30,mango_mdd,medium,2000Q2,184,0.48227556454550474,4.31223181100001,1.6185776926753188,"[18.422993963261607, 0.28317381384510426, 8.526267325990233, 13.62369213975242, 139.89625441549927, 2.116061523387904, 27.361320272389783]"
2000-12-31,mango_mdd,medium,2000Q3,185,0.5934320063900808,4.885717598823492,1.6525749919679704,"[13.826712537598036, 2.610282047429875, 19.19664169153427, 2.900356832522169, 761.3734533332033, 6.104984284447175, 5.228031707649096]"
2001-03-31,mango_mdd,medium,2000Q4,186,1.8865977294694631,2.5094059916226543,9.036356969837197,"[2.187555565014024, 4.222564588654894, 5.432110406846455, 9.484560519374773, 621.382281733291, 49.277317077942065, 17.44327263463056]"
2001-06-30,mango_mdd,medium,2001Q1,187,0.8181589475217286,5.5366289532047555,17.030325342416653,"[4.6763540435475806, 2.7693332302533, 9.095695035559405, 4.609031518797223, 223.1284265869332, 0.8506673712460427, 13.959387782736316]"
2001-09-30,mango_mdd,medium,2001Q2,188,0.8467138378072272,17.543386917668645,1.614789025152128,"[11.489677320925903, 3.319568803380974, 30.956886754048345, 4.448539057770566, 258.55471730089346, 2.3590438482909484, 2.0069167152692513]"
2001-12-31,mango_mdd,medium,2001Q3,189,0.5204672349775052,0.559839628360651,2.695205113560793,"[8.674601739944778, 1.1585910630450276, 9.386568820728932, 6.552477174985204, 138.82006833717818, 14.81696226111961, 14.27010055461799]"
2002-03-31,mango_mdd,medium,2001Q4,190,1.1785671909163014,0.709594313651713,3.7514285632776465,"[4.188982686455806, 3.419681782688888, 34.98562407782965, 5.083110672266753, 235.28599296929676, 6.999296373344111, 9.739418000347824]"
2002-06-30,mango_mdd,medium,2002Q1,191,0.8760116308517212,10.30477170370437,1.5513347275530354,"[6.2194880765071145, 3.871339404090581, 9.483282819445488, 1.2818546448949004, 743.8614570726119, 3.6851080115970745, 13.721036204445115]"
2002-09-30,mango_mdd,medium,2002Q2,192,0.6731362417487213,2.6126981513636185,2.505294906490843,"[11.41417190347515, 1.5096291383168459, 32.727025827224715, 4.8065262663712325, 819.154400202508, 1.3296035653806038, 7.995411717506486]"
2002-12-31,mango_mdd,medium,2002Q3,193,0.6844706281977225,3.957239028947998,3.9507016736567353,"[14.118044974502153, 0.7286788036814601, 42.11636004592054, 47.62745296151416, 72.55099164757146, 41.36790865856393, 19.52118159540134]"
2003-03-31,mango_mdd,medium,2002Q4,194,0.6570678362224186,1.2299222413512625,7.471296465207019,"[6.10552122610569, 2.448028933186818, 5.818196929474258, 13.090583614342032, 186.62226982564815, 10.172749241356884, 10.866083871705449]"
2003-06-30,mango_mdd,medium,2003Q1,195,0.5204672349775052,0.559839628360651,2.695205113560793,"[8.462618569579613, 1.155828757520551, 9.245130810094313, 6.384591637995999, 136.7734536459094, 14.747445063280574, 15.670724167554022]"
2003-09-30,mango_mdd,medium,2003Q2,196,0.3305584101150324,2.4550019515579637,4.0217374454181805,"[5.912218030953836, 0.2808931280236458, 49.693079444122915, 7.638268263927913, 87.44873495440504, 4.7844047671117, 1.0004393807362701]"
2003-12-31,mango_mdd,medium,2003Q3,197,1.558112879917263,1.0516831273215914,4.693891568288952,"[10.52177297619524, 1.8233973435288187, 21.045860559592626, 9.918491794240747, 74.6722100543617, 8.707732142144382, 26.282129923682977]"
2004-03-31,mango_mdd,medium,2003Q4,198,0.9792585649148067,5.363335463773704,0.5195956902992869,"[4.662143674356092, 1.4985037201018587, 6.870801289250527, 0.4582060192942777, 230.1209813512899, 0.20017058690251896, 10.771912538502258]"
2004-06-30,mango_mdd,medium,2004Q1,199,0.7580930453576631,4.178641822815875,9.708778860375153,"[7.135606617522981, 11.545937015659755, 39.30040890098877, 12.659493668740902, 394.0347820671728, 48.073828579743534, 33.052525468910105]"
2004-09-30,mango_mdd,medium,2004Q2,200,0.3305584101150324,2.4550019515579637,4.0217374454181805,"[5.794457225706254, 0.2770052614087185, 48.747120083634606, 7.406996604523546, 88.07131174304338, 4.656653076527472, 1.0669798445853547]"
2004-12-31,mango_mdd,medium,2004Q3,201,0.8596683936627736,13.178413150915928,9.942848770914697,"[17.856701608525363, 10.429906961143718, 17.69190411916855, 13.604817237364305, 1021.4918112135912, 6.962390025375919, 20.503951737949894]"
2005-03-31,mango_mdd,medium,2004Q4,202,0.9235475232958507,0.6279706255746244,0.0522838218496559,"[2.793481834345119, 2.1483945642944837, 48.91369795316863, 7.945034178628831, 71.80281251412488, 5.7579136247897305, 22.626240356186628]"
2005-06-30,mango_mdd,medium,2005Q1,203,0.9235475232958507,0.6279706255746244,0.0522838218496559,"[2.7797469928590472, 2.1376675235598652, 48.69769023873353, 7.904738211468601, 71.48174909061649, 5.793009559039037, 23.633797046834772]"
2005-09-30,mango_mdd,medium,2005Q2,204,0.4878403138079716,17.10594612783955,1.8399197648936056,"[1.6424046479921115, 1.5884348138612046, 11.182888917579902, 3.3935122122175003, 540.6372859728468, 2.7866765319854068, 24.29661568172488]"
2005-12-31,mango_mdd,medium,2005Q3,205,1.3025580776295296,9.893382664348792,4.000729811402151,"[2.339733349789352, 0.5182210498121806, 4.105965743861378, 9.002386977746758, 471.6753214048414, 2.7670961040015163, 2.080680715107659]"
2006-03-31,mango_mdd,medium,2005Q4,206,1.7413600742397433,3.6284409025994058,0.03174292489842855,"[3.380857706653257, 0.41516146455193953, 32.256770769553256, 11.949343875437846, 620.1153140388158, 5.215988656580689, 9.866073628187015]"
2006-06-30,mango_mdd,medium,2006Q1,207,0.3470058285227397,2.2192750410645687,10.879854867695789,"[0.6981078951576285, 0.5284570215936215, 44.09578419558887, 2.0399795939733294, 599.4222131812313, 6.809597760897555, 3.0696309502255006]"
2006-09-30,mango_mdd,medium,2006Q2,208,0.9235475232958507,0.6279706255746244,0.0522838218496559,"[2.721621386749901, 2.0671598848360313, 47.672876648069845, 7.7958991160948115, 69.58654110817066, 5.609110772371558, 24.975330837686652]"
2006-12-31,mango_mdd,medium,2006Q3,209,0.87985008137501,0.8283540106341101,2.733145936428945,"[16.498539381294542, 0.23135025379410773, 30.8930573502234, 7.788850087957753, 231.35019587016535, 15.933014499776052, 35.00818544750556]"
2007-03-31,mango_mdd,medium,2006Q4,210,0.9235475232958507,0.6279706255746244,0.0522838218496559,"[2.695974992727102, 2.0546369864520155, 47.22476514237485, 7.724447200175193, 69.31253612876971, 5.5686467909799955, 27.622582488787938]"
2007-06-30,mango_mdd,medium,2007Q1,211,0.9815309304041151,1.7468985212816823,9.860565330498417,"[2.9058083781352795, 0.16472566923552923, 2.7704804204087408, 4.067352695490055, 279.435897339801, 4.365821304055051, 29.564451159257814]"
