model,model_size,optimization_horizon,lambda_mean,lambda_std,lambda_min,lambda_max,theta_mean,theta_std,theta_min,theta_max,miu_mean,miu_std,miu_min,miu_max
mango_mdd,small,,0.8283211599815177,0.43646924007223753,0.1634506778737081,2.217755627849382,6.726780140354416,5.840286879647753,0.0108266030630172,25.073036895328872,5.9253512886637285,5.46501598538794,0.0197957500198269,26.5344193746028
mango_rmse,small,h1q,1.468761418400967,2.0769859212371857,0.0011008814621108,4.996753997402611,23.273248494593126,15.003857159993297,0.0286260142029768,49.94033896672369,19.337764179717347,17.736084668842018,0.002169325494305,49.96062308994635
mango_rmse,small,h2q,1.0813521750277633,1.8802450156458175,0.0002745248894316,4.9986616874175525,27.305078809745048,15.481911903400531,0.0192784225988435,49.94867746848458,20.80289812570293,17.200651147201317,0.0078131599320973,49.97507858517493
mango_rmse,small,h4q,1.5407469294273788,2.0581043742164105,0.0027571696862354,4.999221439760763,25.816653240508906,14.748157805872282,0.0091234066769868,49.98638232950634,19.708592608492076,16.87873017303544,0.0391675221108505,49.96919085940712
mango_rmse,small,h8q,1.8865322889862384,2.086935417616215,0.0007546666429716,4.9973447356451794,22.084854980488437,16.301763749610977,0.0074085333603788,49.59045742273819,20.96117518428199,18.644024044132877,0.0020872413044432,49.96246253743824
mango_rmse_random,small,h1q,1.500905796128442,1.8696260810289695,0.0003366214249545,4.990300296913507,24.239260199002164,15.641936093416167,0.0195423760123341,49.91408401513028,18.36057022909329,16.796750533997628,0.0101597894945798,49.94755592159458
mango_rmse_random,small,h2q,1.6231590279792563,1.96128377572857,0.0021989967078317,4.994270317481448,17.060165211195294,15.861664695818027,0.0016101339300095,49.9941364143716,19.282122053263535,17.26905026867011,0.0008849854420795,49.99796074378848
mango_rmse_random,small,h4q,2.3408089745898315,1.3458611879612106,0.0927069359316084,4.989599886276825,25.797851091428196,14.872693243709966,0.2312971612131728,49.36658857739936,24.41108457196016,15.251197992424707,1.172474028874368,49.41993705406428
mango_rmse_random,small,h8q,2.344523912029463,1.3446830331321569,0.0927069359316084,4.989599886276825,25.590233626209915,14.842744185630927,0.2312971612131728,49.36658857739936,24.680991764987464,15.059847542992733,1.172474028874368,49.41993705406428
paper,small,,0.5619821780117196,0.015184849438740806,0.5379024243550622,0.6099112725733801,0.655969905651572,0.06091928956479282,0.5848992979362179,0.8040094036639972,0.1178491429230325,0.019693560561695175,0.1034784523581445,0.2854699646409142
