forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2000-03-31,mango_rmse,small,1999Q4,164,0.2512628261823375,0.13390363890651066,6.5926944246880135
2000-06-30,mango_rmse,small,2000Q1,183,4.412686736371368,0.4653405206948368,33.46678851178021
2000-09-30,mango_rmse,small,2000Q2,184,0.15131885799819095,0.06581156856906008,33.13941692267462
2000-12-31,mango_rmse,small,2000Q3,185,0.117552469120207,49.89133099990918,49.81336631958216
2001-03-31,mango_rmse,small,2000Q4,186,0.06191716232896335,24.142649926486776,40.2924670098679
2001-06-30,mango_rmse,small,2001Q1,187,4.882483179552517,21.842456367899246,0.09081810780041773
2001-09-30,mango_rmse,small,2001Q2,188,4.954966336577873,37.354205048327046,0.22633683249000555
2001-12-31,mango_rmse,small,2001Q3,189,4.922067266387296,25.42407657391966,0.23830058109103866
2002-03-31,mango_rmse,small,2001Q4,190,1.5036368676507592,49.98638232950634,0.19967683416531984
2002-06-30,mango_rmse,small,2002Q1,191,4.96215916379986,13.502974444626197,0.09201721733687378
2002-09-30,mango_rmse,small,2002Q2,192,3.7077214404857735,0.009123406676986877,0.12757233426583
2002-12-31,mango_rmse,small,2002Q3,193,0.006193617542398928,7.430610468942982,22.65333313380799
2003-03-31,mango_rmse,small,2002Q4,194,0.004890778875984961,23.80012522916789,0.3176376476257966
2003-06-30,mango_rmse,small,2003Q1,195,0.00591636695919331,3.7991779690171694,12.086099027521625
2003-09-30,mango_rmse,small,2003Q2,196,0.026890188054756483,23.790097259575067,16.621639551243206
2003-12-31,mango_rmse,small,2003Q3,197,0.009782476845007677,36.46123187615604,9.559449092699419
2004-03-31,mango_rmse,small,2003Q4,198,0.02129009250999047,38.7003448208842,8.903512067275312
2004-06-30,mango_rmse,small,2004Q1,199,0.0320878706152229,7.957720447061789,25.300865468939083
2004-09-30,mango_rmse,small,2004Q2,200,0.07712057403793396,13.602425469855918,0.12662531712213446
2004-12-31,mango_rmse,small,2004Q3,201,0.08691860676701663,5.597746958106795,34.821591294441
2005-03-31,mango_rmse,small,2004Q4,202,0.03517258253314773,19.39155582858943,43.73159017866713
2005-06-30,mango_rmse,small,2005Q1,203,2.9091259154210523,46.846303257429156,42.240331465567024
2005-09-30,mango_rmse,small,2005Q2,204,0.012062775351270674,9.488706486215133,3.4737517526275647
2005-12-31,mango_rmse,small,2005Q3,205,0.5251294099249452,22.608623187404746,28.010487325501586
2006-03-31,mango_rmse,small,2005Q4,206,0.395906704874117,39.154896251765855,5.536090654832733
2006-06-30,mango_rmse,small,2006Q1,207,0.013847442281516052,43.349981299777035,16.69787961417732
2006-09-30,mango_rmse,small,2006Q2,208,0.018265282519016282,14.239568955006018,37.954139465551975
2006-12-31,mango_rmse,small,2006Q3,209,0.08654069445857486,45.41512218936384,31.664378866254847
2007-03-31,mango_rmse,small,2006Q4,210,0.10277347571066336,47.4301790890222,31.753786940187812
2007-06-30,mango_rmse,small,2007Q1,211,4.720425224575715,16.92267246660544,0.10294108488623582
2007-09-30,mango_rmse,small,2007Q2,212,4.995551864555206,35.47045027720126,17.14396874839751
2007-12-31,mango_rmse,small,2007Q3,213,4.936920048414444,33.06369385032672,5.55754091100413
2008-03-31,mango_rmse,small,2007Q4,214,0.2618708493506025,23.20115010718439,41.192704636131374
2008-06-30,mango_rmse,small,2008Q1,215,0.134796193874908,17.50612737039857,14.940140502133108
2008-09-30,mango_rmse,small,2008Q2,216,4.809809300565698,24.065758924381473,43.312398471624874
2008-12-31,mango_rmse,small,2008Q3,217,0.0067724234779518305,17.298245394160215,39.016805521430186
2009-03-31,mango_rmse,small,2008Q4,218,0.0053716854538332255,12.51590956675874,14.969673553930091
2009-06-30,mango_rmse,small,2009Q1,219,0.002757169686235416,12.790371297552877,20.05833002784962
2009-09-30,mango_rmse,small,2009Q2,220,0.0038232809657111075,48.60097094037224,38.48687620742405
2009-12-31,mango_rmse,small,2009Q3,221,0.005411683553204042,40.60173901963884,41.32177453170917
2010-03-31,mango_rmse,small,2009Q4,222,0.01029808359915907,15.24529950279832,27.231021641739698
2010-06-30,mango_rmse,small,2010Q1,223,0.005010262592272822,38.346024283777524,9.240561419118713
2010-09-30,mango_rmse,small,2010Q2,224,4.942687784107833,15.139627264532214,49.87477450902286
2010-12-31,mango_rmse,small,2010Q3,225,0.12337249283569356,38.73938305954731,4.456025180179868
2011-03-31,mango_rmse,small,2010Q4,226,0.014980839703186807,0.6851758419646597,23.50895679905797
2011-06-30,mango_rmse,small,2011Q1,227,0.014305730864371528,36.38652591927697,5.040729561581553
2011-09-30,mango_rmse,small,2011Q2,228,4.710370480194071,14.028110460196643,3.7741400016350757
2011-12-31,mango_rmse,small,2011Q3,229,4.129540267565492,49.8815095134422,4.4278590746843
2012-03-31,mango_rmse,small,2011Q4,230,4.995120956340329,10.679458853022322,4.464033539664179
2012-06-30,mango_rmse,small,2012Q1,231,4.960338609422876,36.75347218670511,2.946356672671248
