forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,mango_rmse_random,small,1999Q4,164,4.435717849416315,0.9359278518996423,0.4015299785086084,"[50.42667471906036, 2.43187371197099, 74.76979974045436]"
2000-06-30,mango_rmse_random,small,2000Q1,183,2.4736187363364226,11.633839847663419,0.24563959410539896,"[44.28060186184415, 22.892903044471584, 50.42357307209028]"
2000-09-30,mango_rmse_random,small,2000Q2,184,1.7693741597176702,24.97962717482018,0.21079687908922984,"[28.944324055161538, 27.905942065841046, 42.801764077073145]"
2000-12-31,mango_rmse_random,small,2000Q3,185,4.16840108852465,36.68573427430067,0.3198041043860304,"[57.30103706705266, 29.59822173310409, 0.22530460555725076]"
2001-03-31,mango_rmse_random,small,2000Q4,186,4.820931566349037,44.0962006673139,0.12624782638928225,"[23.433605722143977, 37.57763360191703, 45.513767927371234]"
2001-06-30,mango_rmse_random,small,2001Q1,187,1.9766100705667053,32.416598211193296,0.22605280633763272,"[20.397252301714712, 34.19030433309697, 53.27261888698806]"
2001-09-30,mango_rmse_random,small,2001Q2,188,3.899232405293898,6.270211927067671,0.3049641096471631,"[57.27546964507847, 1.3978162204190736, 64.40272907183386]"
2001-12-31,mango_rmse_random,small,2001Q3,189,3.7188516073767417,6.448018908925998,0.2060476901062749,"[36.7637539294543, 24.638757550566222, 45.652702038453775]"
2002-03-31,mango_rmse_random,small,2001Q4,190,4.602136758799011,36.05502968161025,0.2022353733986817,"[22.46788779972435, 34.15912579615487, 50.85119688736765]"
2002-06-30,mango_rmse_random,small,2002Q1,191,2.530019401353987,3.9740341755153406,0.18768892193890213,"[50.441046962066835, 22.87698955397137, 51.58531471224761]"
2002-09-30,mango_rmse_random,small,2002Q2,192,4.40537759269887,0.5778215000170817,5.011434142853028,"[18.79560970871432, 4.346163415391789, 93.64630894566848]"
2002-12-31,mango_rmse_random,small,2002Q3,193,4.537251868320664,0.08926779479362067,4.189386948743076,"[15.203783021164238, 2.2727780123880206, 95.22607921702692]"
2003-03-31,mango_rmse_random,small,2002Q4,194,0.06298322583961796,7.749206135603593,0.4985968640053628,"[36.69899827868972, 21.967785855106452, 55.6010239015127]"
2003-06-30,mango_rmse_random,small,2003Q1,195,0.10176500527734608,23.82820267553396,47.31744909934793,"[56.58180497348779, 0.0837945178685828, 30.896591915565736]"
2003-09-30,mango_rmse_random,small,2003Q2,196,0.13705768849335803,29.40768539306921,40.426859498733236,"[34.57589994357893, 10.417569175897198, 45.426775076155266]"
2003-12-31,mango_rmse_random,small,2003Q3,197,0.08747886813010966,27.490874867033543,13.751185682263163,"[37.5547052203775, 20.80546694095127, 74.53421743184737]"
2004-03-31,mango_rmse_random,small,2003Q4,198,0.09274024578800603,40.130332324714715,38.24461748253578,"[27.612521812874434, 9.496415268476596, 87.74786454091597]"
2004-06-30,mango_rmse_random,small,2004Q1,199,0.08739468501683713,25.279184982794312,39.688983942642075,"[2.7292078315929076, 16.244725815211545, 66.04881484076184]"
2004-09-30,mango_rmse_random,small,2004Q2,200,0.0615840622358731,15.847445075960497,43.62247939801795,"[75.57998665866442, 34.51711324712049, 31.558645959995218]"
2004-12-31,mango_rmse_random,small,2004Q3,201,0.03104969002534988,11.4740958111243,37.23748824874169,"[59.99229883475113, 30.53562786588383, 32.247633330056615]"
2005-03-31,mango_rmse_random,small,2004Q4,202,0.907372784107718,42.93004435243436,17.243216284152787,"[73.12488803736815, 16.2684659028077, 22.281876197318695]"
2005-06-30,mango_rmse_random,small,2005Q1,203,0.5627108591094961,1.7415999239303697,26.62000408506807,"[18.925803019438785, 19.536352280881353, 9.50678319492322]"
2005-09-30,mango_rmse_random,small,2005Q2,204,4.645571711056155,32.13575710059071,0.0340302000333533,"[52.25049766659976, 27.595033219341758, 4.653020149929104]"
2005-12-31,mango_rmse_random,small,2005Q3,205,4.3834967805270475,7.868671088357525,26.19839252441935,"[72.54572820084486, 6.295903708272023, 4.988693855425404]"
2006-03-31,mango_rmse_random,small,2005Q4,206,0.742186957919601,26.363261275517278,31.624160939644295,"[15.917223617369446, 26.795071350556633, 19.590339459005754]"
2006-06-30,mango_rmse_random,small,2006Q1,207,0.42197176649305174,6.111488810311245,19.77011366416681,"[40.89407872255983, 5.6147057386461565, 13.371217579999017]"
2006-09-30,mango_rmse_random,small,2006Q2,208,0.42033864171735213,27.749781697629412,49.54299410299013,"[67.54971810420764, 13.971942617231669, 13.909026093982938]"
2006-12-31,mango_rmse_random,small,2006Q3,209,0.6252380082918012,36.102582430103,38.66882903506266,"[22.348308795579285, 26.008644805033445, 22.084184908674274]"
2007-03-31,mango_rmse_random,small,2006Q4,210,0.24110979341828367,3.2169641931669486,20.789157216386087,"[3.2271698321518705, 4.0487897068156355, 15.017338005096677]"
2007-06-30,mango_rmse_random,small,2007Q1,211,0.08038905583104823,41.75748885550705,49.2051304089021,"[0.08503230985697688, 33.49134817643072, 45.79319009795404]"
2007-09-30,mango_rmse_random,small,2007Q2,212,0.42496619778489514,43.979567257917466,40.129330826036636,"[68.09299639290663, 13.03238159964171, 36.806819870016916]"
2007-12-31,mango_rmse_random,small,2007Q3,213,0.14669025540155559,44.50320543155349,48.79189635239426,"[72.69371164954049, 1.4883637980268496, 55.94383275361228]"
2008-03-31,mango_rmse_random,small,2007Q4,214,0.061293651702521566,48.192407656895455,18.3199623515405,"[54.79372890330562, 14.42454227003627, 49.08044354920295]"
2008-06-30,mango_rmse_random,small,2008Q1,215,0.1315270057875009,15.656987814585344,43.327366586668724,"[67.3988561129378, 13.738719775073891, 73.73077947962729]"
2008-09-30,mango_rmse_random,small,2008Q2,216,0.2014823970854578,44.96463405180836,36.31906638967627,"[73.63273493461975, 6.283206410210776, 84.5760597312651]"
2008-12-31,mango_rmse_random,small,2008Q3,217,0.0919847876785663,44.80584130973012,48.46691055187742,"[40.73022680818769, 16.113997785748406, 28.268103367797202]"
2009-03-31,mango_rmse_random,small,2008Q4,218,0.03845191517924314,16.60837156602175,22.67262005117563,"[10.26244395359136, 0.08866926384487227, 15.12402128811322]"
2009-06-30,mango_rmse_random,small,2009Q1,219,3.126358545167791,44.7684496606768,43.971193432040415,"[49.672750176710856, 14.78432558481834, 30.920233813334576]"
2009-09-30,mango_rmse_random,small,2009Q2,220,0.14347352629346583,10.236554916479959,6.244129583035034,"[29.54159828950737, 16.042884138079533, 73.28353605062537]"
2009-12-31,mango_rmse_random,small,2009Q3,221,0.11202076777336784,8.318604150494052,22.11010903211077,"[68.7737007618265, 20.070122253884584, 32.895748134661424]"
2010-03-31,mango_rmse_random,small,2009Q4,222,0.05726563621036037,14.385939196805033,30.497627993211054,"[55.13113359444066, 19.878945157356483, 65.79448789272918]"
2010-06-30,mango_rmse_random,small,2010Q1,223,0.03369919696582129,24.07217200351259,40.857719370326414,"[63.741767695814495, 0.9404472621777603, 81.26691067593202]"
2010-09-30,mango_rmse_random,small,2010Q2,224,3.219036961990131,19.287990993129586,47.92149433286196,"[26.011700636639684, 3.767567541592052, 5.572456638131003]"
2010-12-31,mango_rmse_random,small,2010Q3,225,3.042727260188977,8.851196306480082,33.21862349295326,"[67.55823430041367, 31.127348147644238, 6.112290333184702]"
2011-03-31,mango_rmse_random,small,2010Q4,226,4.391327028530651,3.19983398708282,47.41960993448938,"[36.5196514111516, 32.35989110337143, 13.029079293163559]"
2011-06-30,mango_rmse_random,small,2011Q1,227,0.20340223914766722,23.1490367740095,11.747377182729457,"[50.01387463058967, 5.101821472348049, 76.26278735298256]"
2011-09-30,mango_rmse_random,small,2011Q2,228,0.2597091786237699,33.810927009055355,0.5131200597740626,"[69.32679406050482, 11.551953274320926, 53.7491319727127]"
2011-12-31,mango_rmse_random,small,2011Q3,229,0.29151687071671356,15.153120302835811,30.634879195253433,"[0.1027677550404331, 25.060079758671524, 83.57365001381605]"
